电影名,导演,评分,评价人数,评价
素媛/소원/许愿/希望：为爱重生(台),李濬益 Jun-ik Lee,9.3,771859人,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
猫鼠游戏/Catch Me If You Can/逍遥法外/捉智双雄(港),史蒂文·斯皮尔伯格 Steven Spielberg,9.1,1201841人,骗子大师和执著警探的你追我跑故事。
天空之城/天空の城ラピュタ/天空之城拉普他/空中城堡拉普他,宫崎骏 Hayao Miyazaki,9.2,1003444人,对天空的追逐，永不停止。
鬼子来了//Devils on the Doorstep,姜文 Wen Jiang,9.3,710832人,对敌人的仁慈，就是对自己残忍。
摔跤吧！爸爸/Dangal/我和我的冠军女儿(台)/打死不离3父女(港),涅提·蒂瓦里 Nitesh Tiwari,9.0,1736508人,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
少年派的奇幻漂流/Life of Pi/少年Pi的奇幻漂流/漂流少年Pi,李安 Ang Lee,9.1,1483079人,瑰丽壮观、无人能及的冒险之旅。
钢琴家/The Pianist/钢琴战曲(港)/战地琴人(台),罗曼·波兰斯基 Roman Polanski,9.3,745543人,N/A
指环王2：双塔奇兵/The Lord of the Rings: The Two Towers/魔戒二部曲：双城奇谋/指环王II：双塔,彼得·杰克逊 Peter Jackson,9.2,852020人,承前启后的史诗篇章。
死亡诗社/Dead Poets Society/暴雨骄阳(港)/春风化雨(台),彼得·威尔 Peter Weir,9.2,874114人,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
大话西游之月光宝盒/西遊記第壹佰零壹回之月光寶盒/西游记101回月光宝盒/齐天大圣东游记,刘镇伟 Jeffrey Lau,9.0,1358841人,N/A
何以为家/كفرناحوم/迦百农/星仔打官司(港),娜丁·拉巴基 Nadine Labaki,9.1,1157437人,凝视卑弱生命，用电影改变命运。
绿皮书/Green Book/绿簿旅友(港)/幸福绿皮书(台),彼得·法雷里 Peter Farrelly,8.9,1881092人,去除成见，需要勇气。
闻香识女人/Scent of a Woman/女人香/女人的芳香,马丁·布莱斯 Martin Brest,9.1,1016821人,N/A
大闹天宫//大闹天宫 上下集/The Monkey King,万籁鸣 Laiming Wan,9.4,506555人,N/A
黑客帝国/The Matrix/22世纪杀人网络(港)/廿二世纪杀人网络(港),,9.1,944540人,N/A
