电影名,导演,评分,评价人数,评价
纵横四海/縱橫四海/Once a Thief,吴宇森 John Woo,8.8,473048人,N/A
无敌破坏王/Wreck-It Ralph/破坏王拉尔夫/破坏王大冒险,瑞奇·莫尔 Rich Moore,8.7,611302人,迪士尼和皮克斯拿错剧本的产物。
卢旺达饭店/Hotel Rwanda/卢安达饭店(台),特瑞·乔治 Terry George,8.9,366674人,当这个世界闭上双眼，他却敞开了怀抱。
东京教父/東京ゴッドファーザーズ/Tokyo Godfathers,今敏 Satoshi Kon,9.0,290471人,N/A
小偷家族/万引き家族/Shoplifters/Une Affaire de Famille,是枝裕和 Hirokazu Koreeda,8.7,894352人,我们组成了家。
牯岭街少年杀人事件/牯嶺街少年殺人事件/A Brighter Summer Day,杨德昌 Edward Yang,8.9,368234人,N/A
恐怖游轮/Triangle/汪洋血迷宮(台)/轮回三角,克里斯托弗·史密斯 Christopher Smith,8.5,988152人,不要企图在重复中寻找已经失去的爱。
冰川时代/Ice Age/冰河世纪/冰原历险记,,8.7,685180人,N/A
魔女宅急便/魔女の宅急便/魔女琪琪(台)/小魔女限时专送,宫崎骏 Hayao Miyazaki,8.7,523742人,N/A
芙蓉镇//Hibiscus Town,谢晋 Jin Xie,9.3,189297人,N/A
忠犬八公物语/ハチ公物語/八千公物语/阿八的故事,神山征二郎 Seijirô Kôyama,9.2,218373人,N/A
岁月神偷/歲月神偷/1969太空漫游/Echoes Of The Rainbow,罗启锐 Alex Law,8.7,612276人,岁月流逝，来日可追。
荒蛮故事/Relatos salvajes/蛮荒故事/生命中最抓狂的小事(台),达米安·斯兹弗隆 Damián Szifron,8.7,516889人,始于荒诞，止于更荒诞。
遗愿清单/The Bucket List/玩转身前事(港)/一路玩到挂(台),罗伯·莱纳 Rob Reiner,8.7,537445人,用剩余不多的时间，去燃烧整个生命。
大佛普拉斯//The Great Buddha+,黄信尧 Hsin-yao Huang,8.7,552911人,人们可以登上月球，却永远无法探索人们内心的宇宙。
源代码/Source Code/启动原始码(台)/危机解密(港),邓肯·琼斯 Duncan Jones,8.6,924553人,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
花束般的恋爱/花束みたいな恋をした/她和他的恋爱花期(港)/爱如花束 恋恋不忘,土井裕泰 Nobuhiro Doi,8.6,824790人,N/A
疯狂的麦克斯4：狂暴之路/Mad Max: Fury Road/末日先锋：战甲飞车(港)/疯狂麦斯：愤怒道(台),乔治·米勒 George Miller,8.7,617781人,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
白日梦想家/The Secret Life of Walter Mitty/发梦王大历险(港)/白日梦冒险王(台),本·斯蒂勒 Ben Stiller,8.6,645295人,N/A
你看起来好像很好吃/おまえうまそうだな/你看起来很好吃(台)/你看上去好像很好吃,藤森雅也 Masaya Fujimori,8.9,375335人,感情不分食草或者食肉。
可可西里//Kekexili: Mountain Patrol,陆川 Chuan Lu,8.9,345930人,坚硬的信仰。
贫民窟的百万富翁/Slumdog Millionaire/一百万零一夜(港)/贫民百万富翁(台),丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,8.6,806363人,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
爱乐之城/La La Land/星声梦里人(港)/乐来越爱你(台),达米恩·查泽雷 Damien Chazelle,8.4,1108823人,N/A
城市之光/City Lights/City Lights: A Comedy Romance in Pantomime/Lichter der Großstadt,查理·卓别林 Charles Chaplin,9.3,172600人,N/A
波西米亚狂想曲/Bohemian Rhapsody/波希米亚狂想曲：摇滚传说(港)/波希米亚狂想曲(台),布莱恩·辛格 Bryan Singer,8.6,689178人,N/A
爆裂鼓手/Whiplash/鼓动真我(港)/进击的鼓手(台),达米恩·查泽雷 Damien Chazelle,8.6,690094人,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
东邪西毒/東邪西毒/Ashes of Time,王家卫 Kar Wai Wong,8.6,634888人,N/A
青蛇//Green Snake,徐克 Hark Tsui,8.6,600581人,N/A
哈利·波特与死亡圣器(上)/Harry Potter and the Deathly Hallows: Part 1/哈利波特7：死神的圣物1(港/台),大卫·叶茨 David Yates,8.6,694663人,最忠于原著的一部。
无耻混蛋/Inglourious Basterds/希魔撞正杀人狂(港)/恶棍特工(台),昆汀·塔伦蒂诺 Quentin Tarantino,8.7,561217人,昆汀同学越来越变态了，比北野武还杜琪峰。
终结者2：审判日/Terminator 2: Judgment Day/未来战士2(港)/魔鬼终结者2(台),詹姆斯·卡梅隆 James Cameron,8.8,385248人,N/A
大红灯笼高高挂//Raise The Red Lantern/Épouses et concubines,张艺谋 Yimou Zhang,8.8,370802人,N/A
黑天鹅/Black Swan/夺命黑天鹅/霸王别鹅(豆友译名),达伦·阿罗诺夫斯基 Darren Aronofsky,8.6,846262人,黑暗之美。
新龙门客栈/新龍門客棧/New Dragon Gate Inn,李惠民 Raymond Lee,8.7,508810人,N/A
初恋这件小事/สิ่งเล็กเล็กที่เรียกว่า...รัก/初恋那件小事(港)/暗恋那点小事,,8.5,1051053人,黑小鸭速效美白记。
人工智能/A.I. Artificial Intelligence/AI人工智慧,史蒂文·斯皮尔伯格 Steven Spielberg,8.7,501819人,N/A
千钧一发/Gattaca/变种异煞(港)/自然人,安德鲁·尼科尔 Andrew Niccol,8.8,349746人,N/A
崖上的波妞/崖の上のポニョ/悬崖上的金鱼姬/悬崖上的金鱼公主,宫崎骏 Hayao Miyazaki,8.6,574723人,N/A
雨人/Rain Man/手足情未了(港)/手足情深,巴瑞·莱文森 Barry Levinson,8.7,442737人,N/A
虎口脱险/La grande vadrouille/横冲直撞出重围(港)/大進擊(台),杰拉尔·乌里 Gérard Oury,8.9,295843人,N/A
哈利·波特与凤凰社/Harry Potter and the Order of the Phoenix/哈利波特5：凤凰会的密令(港/台),大卫·叶茨 David Yates,8.6,694430人,N/A
彗星来的那一夜/Coherence/相干性/相干效应,詹姆斯·沃德·布柯特 James Ward Byrkit,8.6,683142人,小成本大魅力。
罗生门/羅生門/Rashomon,黑泽明 Akira Kurosawa,8.8,357894人,N/A
海边的曼彻斯特/Manchester by the Sea/情系海边之城(港),肯尼斯·罗纳根 Kenneth Lonergan,8.6,651558人,我们都有权利不与自己的过去和解。
恋恋笔记本/The Notebook/忘了·忘不了(港)/手札情缘(台),尼克·卡索维茨 Nick Cassavetes,8.5,747270人,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。
真爱至上/Love Actually/真的恋爱了(港)/爱是您，爱是我(台),理查德·柯蒂斯 Richard Curtis,8.5,807936人,N/A
火星救援/The Martian/火星任务(港)/绝地救援(台),雷德利·斯科特 Ridley Scott,8.5,831121人,N/A
黑客帝国2：重装上阵/The Matrix Reloaded/22世纪杀人网络2：决战未来(港)/骇客任务：重装上阵(台),,8.7,455002人,N/A
步履不停/歩いても 歩いても/横山家之味(港/台),是枝裕和 Hirokazu Koreeda,8.8,327385人,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
奇迹男孩/Wonder/奇迹,斯蒂芬·卓博斯基 Stephen Chbosky,8.6,600292人,世界不完美，爱会有奇迹。
冰雪奇缘/Frozen/魔雪奇缘(港)/冰雪大冒险,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,8.5,827211人,N/A
千年女优/千年女優/Millennium Actress,今敏 Satoshi Kon,8.8,317641人,N/A
战争之王/Lord of War/军火之王(台/港),安德鲁·尼科尔 Andrew Niccol,8.7,415027人,做一颗让别人需要你的棋子。
谍影重重2/The Bourne Supremacy/叛谍追击2：机密圈套(港)/神鬼认证：神鬼疑云(台),保罗·格林格拉斯 Paul Greengrass,8.7,399290人,谁说王家卫镜头很晃？
蜘蛛侠：平行宇宙/Spider-Man: Into the Spider-Verse/蜘蛛侠：新纪元/蜘蛛人：新宇宙(台),,8.6,756095人,N/A
攻壳机动队/攻殻機動隊/Ghost in the Shell,押井守 Mamoru Oshii,9.0,217554人,N/A
血钻/Blood Diamond/血钻石(台)/血腥钻石,爱德华·兹威克 Edward Zwick,8.7,421456人,每个美丽事物背后都是滴血的现实。
魂断蓝桥/Waterloo Bridge/滑铁卢桥/断桥残梦,茂文·勒鲁瓦 Mervyn LeRoy,8.8,310386人,N/A
小姐/아가씨/下女诱罪(港)/下女的诱惑(台),朴赞郁 Chan-wook Park,8.5,574107人,N/A
隐藏人物/Hidden Figures/NASA无名英雌(港)/关键少数(台),特奥多尔·梅尔菲 Theodore Melfi,8.9,271481人,N/A
"血观音/血觀音/修罗花/The Bold, the Corrupt, and the Beautiful",杨雅喆 Ya-che Yang,8.6,558371人,N/A
房间/Room/不存在的房间(台)/抖室(港),伦尼·阿伯拉罕森 Lenny Abrahamson,8.7,399714人,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
